,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
116,Big Spring Meteorological Tower,dataset,"Meteorological data collected at the USDA-ARS Big Spring Field Station in Big Spring, Texas.  Available at:

https://www.ars.usda.gov/plains-area/lubbock-tx/cropping-systems-research-laboratory/wind-erosion-and-water-conservation-research/docs/bsp/",owned,excel,Comma-delimited text,server,NA,public,ARS,Stout_John,100gb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
119,"Data Archive for the PSWC Meteorological Tower, Lubbock, Texas",dataset,"Meteorological data collected at  the PSWC Meteorological Tower in Lubbock, Texas.  Archived data available at:

https://data.mendeley.com/datasets/4x8wghm85p/1

The citation is:

Stout, John E. (2020), “Data Archive for the PSWC Meteorological Tower, Lubbock, Texas”, Mendeley Data, V1, doi: 10.17632/4x8wghm85p.1",private,excel,Comma-delimited text.,other,Mendely Data,public,ARS,Stout_John,100gb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
157,AWIS (Agricultural  Weather Information Service),dataset,WWW.AWIS.COM,opensource,excel,*.CSV,other,Owned by AWIS,public,ARS,Kornecki_Ted,unknown,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
166,National Weather Service,dataset,"real time weather data
https://www.weather.gov/gis/",opensource,other,Rest service api,cloud,NA,public,ARS,Carter_Jennifer,unknown,observational,FALSE,FALSE,TRUE,NA,weather,weather,Weather
178,Meteorological station data,dataset,"Data streams from multiple (10-15) meteorological stations, mostly at Central Plains Experimental Range and adjacent Pawnee National Grasslands in CO. Stations have a range of different sensors, including, but not limited to, precipitation, temperature, windspeed, PAR, soil moisture, gas fluxes.",owned,excel,NA,server,NA,hybrid,ARS,Kearney_Sean,1tb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
181,NDAWN weather data,dataset,"Weather data depository that takes data from station nearby our research area, as well as other historical and climatic data for North Dakota",shared,excel,unknown,cloud,unknown,public,ARS,Christensen_Rachael,unknown,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
198,Collected data set of canopy temperature,dataset,7 years of canopy temperature measurements on multiple crops,owned,excel,NA,local,NA,private,ARS,King_Bradley,100gb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
252,local weather data collected at various sites across Texas,dataset,"A continuous set of weather data from local station for 35 yrs +, data from weather stations installed at fields where research was conducted.",owned,excel,"Variables collected include Air Temperature, Relative Humidity, Pressure, Wind Speed and Direction, Solar Radiation and Precipitation.",local,NA,hybrid,ARS,Eyster_Ritchie,100gb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
296,NLDAS Weather Forcing Data,dataset,"This is weather data for CONUS that is useful as forcing for hydrologic models. I use several forcing datasets (Daymet, Gridmet, PRISM), but NLDAS is the most common and some of the others are based on NLDAS.",opensource,geoformat,NetCDF files,other,NASA servers,public,ARS,Schreiner-McGraw_Adam,1tbplus,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
324,Weather data,dataset,"Precipitation, Temperature, Snow Depth, Soil Moisture, and growing degree day models provide us with several sources of information on crop conditions. Some data sources are free and others are made available via contracts. We share most of this data with the public via https://ipad.fas.usda.gov/cropexplorer/Default.aspx https://geo.fas.usda.gov/GADAS/index.html",shared,database,"Technically, we have these data in several formats to chart and map them via various internal and public applications.",server,"The CADRE database goes back to 1980s and has daily data going back to about 2002, depending upon the source",hybrid,FAS,Colson_Lisa,1tbplus,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
353,Weather data from Swan Lake Research Farm,dataset,"https://www.ars.usda.gov/midwest-area/morris-mn/soil-management-research/docs/weather/
",owned,excel,Excel (xlsx),local,NA,public,ARS,Johnson_Jane,unknown,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
160,virulence finder,dataset,virulence gene database,shared,database,NA,cloud,NA,public,ARS,Wheeler_Tommy,unknown,observational,FALSE,FALSE,TRUE,NA,virulence finder,virulence finder,Genomic
128,Viki phenotyping data server,dataset,Custom collection of data files stored on a network server and used by the plant group phenotyping team to support a variety of current projects as well as to archive past projects for future data mining.,owned,database,"Both SQL type database and flat data table and text files, as well as images and a variety of minor formats",local,"We group by experimental field, year, project or platform and then event with date",private,ARS,Conley_Matthew,1tbplus,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,Viki phenotyping data server,Viki phenotyping data server,Genomic
208,VIIRS,dataset,https://ncc.nesdis.noaa.gov/VIIRS/,opensource,other,HDF,server,NA,public,NASS,Johnson_David,1tbplus,imagery,TRUE,FALSE,FALSE,NA,VIIRS,VIIRS,Imagery
174,Vegetation inventories at research plots,dataset,"Vegetation inventory data for many (100's - 1000's) spatially located plots covering a wide range of projects in Colorado and Wyoming. Many plots have long term data (> 10 yrs), while others were only sampled once. Inventory data are related to grassland vegetation and include measurements such as species composition, vegetation height, cover, biomass, nutrient composition, etc.",owned,excel,Mostly stored in spreadsheets with linked shapefiles.,server,NA,hybrid,ARS,Kearney_Sean,100gb,observational,FALSE,FALSE,TRUE,NA,Vegetation inventories at research plots,Vegetation inventories at research plots,Vegetation
328,Vaterinary Pest Genomics Center,dataset,"The Veterinary Pest Genomics Center (VPGC) is an initiative within the US Department of Agriculture's Agricultural Research Service (ARS). The vision for this initiative is to leverage big data solutions to evaluate risk from, and develop mitigations for invasive and other economically important veterinary pests. The introduction of invasive veterinary pests is accelerated by global change, including anomalies related to climate variability. An important aspect of this effort is to foster an innovation ecosystem involving the network of laboratories directly linked to ARS National Program 104 (Veterinary, Medical, and Urban Entomology), and related locations, in a way that allows ARS to leverage its scientific talent and other research assets.

https://data.nal.usda.gov/veterinary-pest-genomics-center",opensource,database,NA,server,NA,public,ARS,Perez de Leon_Adalberto,1tbplus,observational,FALSE,FALSE,TRUE,NA,Vaterinary Pest Genomics Center,Vaterinary Pest Genomics Center,Genomic
52,Various boundary datasets,dataset,"Various boundary datasets (State, County, and Federal Lands) that provide basic geographic reference information.",commercial,geoformat,NA,server,NA,public,FPAC,Blankley_Brent,unknown,other,FALSE,FALSE,FALSE,Unknown - created and maintained by original source.,Various boundary datasets,Various boundary datasets,Boundary
43,USGS Surface Water Data,dataset,https://waterdata.usgs.gov/nwis/sw,owned,excel,NA,server,NA,public,ARS,Dalzell_Brent,unknown,continuous,FALSE,TRUE,FALSE,NA,USGS Surface Water Data,USGS,Water
359,USGS National Water Dashboard,dataset,"USGS's National Water Dashboard provides provisional real-time water data collected by USGS and its allied agencies. 

https://dashboard.waterdata.usgs.gov/app/nwd/?region=lower48&aoi=default",owned,geoformat,NA,server,NA,public,ARS,Buda_Anthony,1tbplus,"continuous,observational",FALSE,TRUE,TRUE,NA,USGS National Water Dashboard,USGS,Water
285,USGS flow and water quality data,dataset,"Provides daily and sub-daily stage, discharge, and instantaneous water quality data at USGS stations 
https://waterdata.usgs.gov/usa/nwis/sw",owned,other,"Do not know how data are stored by USGS, Data can be downloaded as csv or text files, or accessed directly within a program.",server,"USGS collects, approves and stores all data.",public,ARS,Baffaut_Claire,1tbplus,"continuous,other",FALSE,TRUE,FALSE,Stage and flow data are obtained through continuous monitoring. Water quality data are obtained from manually collected and analyzed water samples.,USGS flow and water quality data,USGS,Water
282,USGS,dataset,"Data, Maps, Publications, Web Tools, Software, The National Map, etc. https://www.usgs.gov/",opensource,geoformat,NA,cloud,NA,public,FS,Wroblewski_Becky,unknown,continuous,FALSE,TRUE,FALSE,NA,USGS,USGS,Water
232,USDA-FSA Conservation Reserve Program data,dataset,USDA-FSA Conservation Reserve Program data,owned,excel,NA,local,NA,private,ARS,Adler_Paul,unknown,other,FALSE,FALSE,FALSE,NA,USDA-FSA Conservation Reserve Program data,USDA-FSA Conservation Reserve Program data,NA
357,USDA NRCS Geospatial Data Gateway,dataset,https://datagateway.nrcs.usda.gov/,owned,geoformat,NA,server,NA,public,NRCS,Meyers_Julie,unknown,other,FALSE,FALSE,FALSE,Unknown,USDA NRCS Geospatial Data Gateway,USDA NRCS Geospatial Data Gateway,NA
427,Data Gateway,dataset,"https://www.nifa.usda.gov/data/data-gateway

The Data Gateway enables users to find funding data, metrics, and information about research, education, and extension projects that have received grant awards from NIFA. Users can use terms and filters to search for projects, choose the data elements to see in the results, and export the results. I am not too familiar with this data collection. I made a best guess below.",owned,other,Not sure,other,Not sure,public,NIFA,Azevedo_Marline,unknown,continuous,FALSE,TRUE,FALSE,NA,USDA NRCS Geospatial Data Gateway,USDA NRCS Geospatial Data Gateway,NA
173,USDA NASS data,dataset,https://www.nass.usda.gov/,opensource,excel,NA,local,NA,public,ARS,Carter_Jennifer,1tb,other,FALSE,FALSE,FALSE,Excel data some GIS data layers,USDA NASS,USDA NASS,Yield
233,USDA-NASS Agricultural Chemical Use Program survey data,dataset,USDA-NASS Agricultural Chemical Use Program survey data,owned,excel,NA,server,NA,public,ARS,Adler_Paul,unknown,observational,FALSE,FALSE,TRUE,NA,USDA NASS,USDA NASS,Yield
239,USDA MRP Plant Protection and Quarantine Domestic Programs Data Site,dataset,"The Plant Protection and Quarantine Domestic Programs Data page is a landing page that takes the user to several datasets and dashboards developed by PPQ. For example, users can use the landing page to get to the spotted lanternfly dashboard, which has near real time info on survey and treatment. You can also download the survey data as a geospatial point shapefile from this site. 

The Domestic Programs Data page is under development, but already has several programs, including Asian Giant Hornet, Box Tree Moth, Emerald Ash Borer, etc. It also has links to PPQ emergency hazards dashboards and COVID dashboards. Users are also able to download NASS Agricultural Statistics data (at the county level) and the US National Grid files.",owned,geoformat,NA,server,NA,private,APHIS,Gaydos_Devon,unknown,observational,FALSE,FALSE,TRUE,NA,USDA MRP Plant Protection and Quarantine Domestic Programs Data Site,USDA MRP Plant Protection and Quarantine Domestic Programs Data Site,Pest/Disease
151,ARS Micronet,dataset,"Currently a network of 35 remote stations located on two large watersheds (the Little Washita River Experimental watershed, 620 km^2 in size, and the Fort Cobb Reservoir Experimental Watershed, 800 km^2 in size) that measure rainfall, and soil water content, temperature, and electrical conductivity at 4 depths).  Older data sets include more stations and other meteorological variables such as air temperature, relative humidity, radiometric surface temperature.  Measurement intervals vary from 5- to 30-min.",owned,other,"Exact format is unknown as we currently contract with a university to automatically download, QA/QC the data, and archive.  The data is publicly available through a web site; however, this web site will be discontinued in the near future as it will be too costly to continue.",other,Computer located and operated by The University of Oklahoma,public,ARS,Starks_PATRICK,unknown,continuous,FALSE,TRUE,FALSE,NA,USDA Micronet,USDA Micronet,Soil Water
364,USDA Micronet,dataset,Climate data including soil temperature and soil moisture.  A full description can be obtained from http://ars.mesonet.org/,shared,other,Data is managed by  Oklahoma State University and the Oklahoma Climatological Survey.,other,Stored by the  Oklahoma State University and the Oklahoma Climatological Survey.,public,ARS,Moriasi_Daniel,unknown,continuous,FALSE,TRUE,FALSE,NA,USDA Micronet,USDA Micronet,Soil Water
396,USDA Facility Address GIS Data,dataset,"OHS EPD collects, synthesizes, and maps USDA address location information from the various USDA Mission Areas. These data guide decision making during emergency events. These data are internal and not shared with the public.",owned,geoformat,NA,server,NA,private,ARS,Presny_Cody,100gb,other,FALSE,FALSE,FALSE,Data collected via agency cooperation. Method of delivery and format varies.,USDA Facility Address GIS Data,USDA Facility Address GIS Data,NA
169,USDA ERS data,dataset,https://www.ers.usda.gov/developer/geospatial-apis/,opensource,other,Rest service Api,other,Rest Service API,public,ARS,Carter_Jennifer,unknown,other,FALSE,FALSE,FALSE,Rest API,USDA ERS data,USDA ERS data,NA
380,USDA - Enterprise Performance Management Application (EPMA),dataset,"Performance Management Application 
",shared,database,NA,cloud,NA,private,FSIS,Antonetti_John,unknown,"continuous,observational",FALSE,TRUE,TRUE,NA,USDA - Enterprise Performance Management Application (EPMA),USDA - Enterprise Performance Management Application (EPMA),NA
373,US National Fungus Collections Specimen Images,dataset,"A collection of images indexed by specimen number of actual fungal specimens, specimen label, and/or accompanying information contained within specimen packets.",owned,other,"tiff, jpg, and accompanying EXIF metadata; spreadsheets to index some data, but generally indexed by specimen number",local,Currently all data on local and network attached storage units; some uploaded to https://mycoportal.org,public,ARS,Castlebury_Lisa,1tbplus,observational,FALSE,FALSE,TRUE,NA,US National Fungus Collections Specimen Images,US National Fungus Collections Specimen Images,NA
372,US National Fungal Databases,dataset,https://nt.ars-grin.gov/,owned,database,mySQL database,server,Database is backed up daily; snapshots are uploaded to NAL AgData Commons,public,ARS,Castlebury_Lisa,100gb,other,FALSE,FALSE,FALSE,Data are entered from specimens sent to the US National Fungus Collections or mined manually from peer-reviewed literature.,US National Fungal Databases,US National Fungal Databases,NA
168,US Environmental GIS Data,dataset,https://www.epa.gov/geospatial,opensource,other,Rest Service API,other,Rest Service API,public,ARS,Carter_Jennifer,unknown,other,FALSE,FALSE,FALSE,Rest Service API,US Environmental GIS Data,US Environmental GIS Data,NA
97,US Census of Agriculture,dataset,https://www.nass.usda.gov/AgCensus/,owned,database,NA,server,NA,public,ARS,Franzluebbers_Alan,unknown,continuous,FALSE,TRUE,FALSE,NA,US Census of Agriculture,US Census of Agriculture,Yield
167,US Census Data,dataset,https://data.census.gov/cedsci/,opensource,other,Rest Service API,other,Rest Service API,public,ARS,Carter_Jennifer,unknown,other,FALSE,FALSE,FALSE,Data collected by the census teams,US Census of Agriculture,US Census of Agriculture,Yield
389,Unified Repository,dataset,"The Unified Repository (UR) is a stack built on Drupal, Islandora,  the Fedora repository, and a large home-grown library of scripts written in Perl (with some auxiliary code in Python). The first three applications are OSS; the code is private. Although it will be retired in the next year or so, this system currently holds metadata for millions of article citations and digital objects hosted in PubAg and NALDC, which use its Solr index to build presentations of the items for the public. We also use Solr for a lot of regular and adhoc internal reporting, e.g. to track how many submissions we have received from USDA authors or how many manuscripts have arrived from ARIS. 

The custom code takes deposited metadata from an external FTP as well as APIs, transforms it with the aid of XSLT stylesheets, checks that required fields are present, and ingests it into the repository if it does not have errors, and reports on the results of the ingest.",opensource,other,"In Fedora, the data is stored in a triple store as well as XML files. The Solr index transforms the data into JSON, which is used for our public interfaces and reporting.",local,NA,hybrid,ARS,Donahue_Rachel,1tbplus,other,FALSE,FALSE,FALSE,The data is deposited by publishers as well as created by NAL Staff,Unified Repository,Unified Repository,NA
125,UAS imagery,dataset,UAS imagery and thermal data from precision ag and production research,owned,other,"*.tif, *.csv",local,NA,private,ARS,Delhom_Christopher,1tb,imagery,TRUE,FALSE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
177,UAV/UAS imagery,dataset,"Imagery (RGB, Multispectral near-infrared) and associated products (DEM; hillshade) collected from unpiloted aerial systems (UAS; aka drones). Primarily covers Central Plains Experimental Range in CO. Imagery collected at 1 - 10 cm spatial resolution, mostly in 2021.",owned,other,geotiffs; netcdf,local,NA,private,ARS,Kearney_Sean,1tb,imagery,TRUE,FALSE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
224,UAS data from drone flights over research fields,dataset,Considerable data stored from drone flights over research plots,owned,geoformat,NA,local,NA,private,ARS,Jenkins_Johnie,1tbplus,"continuous,observational",FALSE,TRUE,TRUE,NA,UAS imagery,UAS imagery,UAS Imagery
244,Drone Image Datasets,dataset,"Research oriented drone image data collection and mining. Currently, they are in the local repository and will put into a platform, which will be defined.",owned,geoformat,JPG+RAW,local,Individual PC,hybrid,ARS,Deng_Dewayne,1tbplus,continuous,FALSE,TRUE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
250,Drone image data,dataset,"This is a dataset which includes multiple Drone flights at multiple heights over cotton fields, and other row crops in the College Station, TX area over a 2 year period.",owned,geoformat,"The data is imagery captured by a RedEdge (MicaSense) camera system at 960 rows, 1280 columns.",local,Have multiple copies of the data on separate hard drives.,private,ARS,Eyster_Ritchie,1tb,imagery,TRUE,FALSE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
360,Drone imagery,dataset,"Our research includes drone imagery, soil characteristics, soil nutrients, microbiology and emissions datasets. These are primarily maintained as Excel spreadsheets currently.",owned,excel,Excel spreadsheet,local,You can only select one type of storage?  Ours is also stored on Agency-owned server and Cloud.,private,ARS,Miles_Dana,1tb,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,UAS imagery,UAS imagery,UAS Imagery
385,"UAV Imagery data near Ames, IA",dataset,"Plot and watershed UAV captured imagery data.  Data types include RGB, 10 band multi-spectral data, and thermal data with ground sampling distances from 1 cm to 8 cm.  Research plots just West of Ames are the primary collection area and data collection began in 2020 with multiple flights done throughout the growing season.  Data is stored locally on a workstation in the IT department.",owned,geoformat,Raw data if collected in TIFF format and when processed put into a geodatabase.,local,Data are stored on servers with weekly backups done by the laboratory's IT staff.,private,ARS,Cole_Kevin,1tb,imagery,TRUE,FALSE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
386,UAV LiDAR datasets,dataset,"UAV collected LiDAR data which creates dense point cloud datasets.  Collections have been done at research plots near Ames, IA and research locations in Hardin and Jasper Counties in IA.  Datasets are have point densities of over 300 pts/m2.  Data collection began in 2021.",owned,geoformat,Raw data is in LAS format but is converted GIS DEM or DSM grid formats.,local,Data are stored on servers with weekly backups done by the laboratory's IT staff.,private,ARS,Cole_Kevin,1tb,imagery,TRUE,FALSE,FALSE,NA,UAS imagery,UAS imagery,UAS Imagery
261,Topical application of synthetic hormones to terminate reproductive diapause of Ceratapion basicorne,dataset,"Raw data from the publication: Park, I, Smith, L. 2021. Topical application of synthetic hormones terminated reproductive diapause of a univoltine weevil weed biological control agent. Insects 12, 834.
Available at Ag Data Commons: DOI:10.15482/USDA.ADC/1523115",opensource,excel,csv,server,NA,public,ARS,Smith_Lincoln,100gb,observational,FALSE,FALSE,TRUE,NA,Topical application of synthetic hormones to terminate reproductive diapause of Ceratapion basicorne,Topical application of synthetic hormones to terminate reproductive diapause of Ceratapion basicorne,Pest/Disease
39,Timber Distribution Data,dataset,Use timber data aggregated from publicly available datasets for natural and plantation distributions. We map those with publicly available satellite imaging and rasterized map data as well as compare against publicly available climate data. Development is conducted in Python and Julia.,opensource,excel,NA,local,NA,hybrid,FS,Bechle_Nathan,1tb,imagery,TRUE,FALSE,FALSE,NA,Timber Distribution Data,Timber Distribution Data,NA
430,The NIH National Center for Bioinformatics Information,dataset,Contains multiple databases and tools used by everyone for analysis of molecular sequence data,freeware,other,ASN.1,cloud,NA,public,ARS,Mitchell_Teddi,unknown,other,FALSE,FALSE,FALSE,Verified DNA sequence data are uploaded by researchers,The NIH National Center for Bioinformatics Information,The NIH National Center for Bioinformatics Information,Genomic
42,The National Map,dataset,https://www.usgs.gov/programs/national-geospatial-program/national-map,owned,geoformat,NA,server,NA,public,ARS,Dalzell_Brent,unknown,"imagery,observational",TRUE,FALSE,TRUE,NA,The National Map,The National Map,NA
