,x,name,type
371,Ensembl Genome Database,Ensembl Genome Database,
45,Enterprise Database Warehouse,Enterprise Database Warehouse,
280,Enterprise DataWarehouse SDE,Enterprise DataWarehouse SDE,
316,Environmental Conservation Online System,Environmental Conservation Online System,
379,eOPF,eOPF,
406,E-permits,E-permits,
291,"ERSI Database of Federal Lands, Tribal Lands (Authoritative)","ERSI Database of Federal Lands, Tribal Lands (Authoritative)",
206,ESA Sentinel,ESA Sentinel,
107,"ESI, Evaporative Stress Index","ESI, Evaporative Stress Index",
287,ESRI,ESRI,
165,ESRI Living Atlas,ESRI Living Atlas,
240,ESRI Living Atlas,ESRI Living Atlas,
276,eTRAP Admin Console,eTRAP Admin Console,
370,European Variation Archive,European Variation Archive,
343,"Evapotranspiration, Irrigation, Dew/frost - Water Balance Data for The Bushland, Texas Alfalfa Datasets","Evapotranspiration, Irrigation, Dew/frost - Water Balance Data for The Bushland, Texas Alfalfa Datasets",
346,"Evapotranspiration, Irrigation, Dew/frost - Water Balance Data for The Bushland, Texas Maize for Grain Datasets","Evapotranspiration, Irrigation, Dew/frost - Water Balance Data for The Bushland, Texas Maize for Grain Datasets",
82,Excell spread sheet,Excell spread sheet,
14,FACTS,FACTS,
278,Farm Manager,Farm Manager,
196,Farm Records - Master Data,Farm Records - Master Data,
149,Farming Systems Project data,Farming Systems Project data,
150,Farming Systems Project Management Records (metadata),Farming Systems Project Management Records (metadata),
28,FEMA Floodzone data,FEMA Floodzone data,
183,FIA DataMart,FIA DataMart,
184,FIA DataMart,FIA DataMart,
111,Fiber Quality Evaluation Laboratory Database,Fiber Quality Evaluation Laboratory Database,
313,field data,field data,
293,Fish and Wildlife Services,Fish and Wildlife Services,
68,FlyBase,FlyBase,
272,Food data Central (FDC),Food data Central (FDC),
30,Forest Inventory and Analysis Database (FIADB),Forest Inventory and Analysis Database (FIADB),
31,Forest Service Research Data Archive,Forest Service Research Data Archive,
303,FPAC GEO NAIP imagery,FPAC GEO NAIP imagery,
19,FSA Common Land Unit (CLU),Common Land Unit (CLU) Dataset,
171,FSA Map data,FSA Map data,
15,FSVeg,FSVeg,
200,Furrow erosion data set,Furrow erosion data set,
267,GADM,GADM,
319,GBIF,GBIF,
86,"GCM projections (CMIP5, CMIP6)","GCM projections (CMIP5, CMIP6)",
403,GCMC (found within ACE),GCMC (found within ACE),
62,Genomic Sequencing data,Genomic Sequencing data,
79,"Genomics (plants, animals, microbial sequences) and Bioinformatic databases","Genomics (plants, animals, microbial sequences) and Bioinformatic databases",
84,Genomics data,Genomics data,
132,GeoData,GeoData,
298,Geospatial Datasets,Geospatial Datasets,
302,Germplasm Resources Information Network (GRIN),Germplasm Resources Information Network (GRIN),
63,GHG dataset,GHG dataset,
112,Gin Automation Images,Gin Automation Images,
195,GIS NCLU - Common Land Unit Layer,Common Land Unit (CLU) Dataset,
237,GIS/Tecq,GIS/Tecq,
236,Global Pest and Disease Database,Global Pest and Disease Database,
238,Global pest and disease database + CABI + ARM + Google scholar,Global pest and disease database + CABI + ARM + Google scholar,
415,Google,Google,
176,GPS collar data for cattle,GPS collar data for cattle,
228,Gridded National Soil Survey Geographic Database (gNATSGO,Gridded National Soil Survey Geographic Database (gNATSGO,
33,GridMET climate data,GridMET climate data,
271,grin global,grin global,
137,GRIN-Global,GRIN-Global,
153,GRL Flux Net,GRL Flux Net,
152,GRL Soil Water Content Network,GRL Soil Water Content Network,
344,"Growth and Yield Data for the Bushland, Texas Alfalfa Datasets","Growth and Yield Data for the Bushland, Texas Alfalfa Datasets",
348,"Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets","Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets",
336,"Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets","Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets",
424,GS1 Company Database (GEPIR),GS1 Company Database (GEPIR),
92,gSSURGO.gNATSGO,gSSURGO.gNATSGO,
307,gypsy moth trap data,gypsy moth trap data,
81,high resolution remote sensing imagery,high resolution remote sensing imagery,
129,High-frequency proximal plant phenotyping custom applications,High-frequency proximal plant phenotyping custom applications,
170,HILFD,HILFD,
50,Historical Aerial Photography Photo Center Points,Historical Aerial Photography Photo Center Points,
51,Historical Availability Dataset,Historical Availability Dataset,
179,Historical fire boundaries,Historical fire boundaries,
269,Historical USDA Photo Center Point Index,Historical USDA Photo Center Point Index,
65,HNT database,HNT database,
122,Hourly dust measurements on the high plains of the Llano Estacado,Hourly dust measurements on the high plains of the Llano Estacado,
317,https://bch.cbd.int/en/,https://bch.cbd.int/en/,
266,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,
265,https://glam1.gsfc.nasa.gov/,https://glam1.gsfc.nasa.gov/,
140,Hydrologic data,Hydrologic data,
70,Hymenoptera Genome Database,Hymenoptera Genome Database,
154,Hyperspectral Reflectance for Forage Quality,Hyperspectral Reflectance for Forage Quality,
155,Hyperspectral Reflectance for Soil Health,Hyperspectral Reflectance for Soil Health,
145,Illumina genome biosequence data,Illumina genome biosequence data,
144,Illumina RNA-Seq biosequence data,Illumina RNA-Seq biosequence data,
190,Imagery,Imagery,
418,ImportGenius,ImportGenius,
254,"Insect captures in College Station, TX area.","Insect captures in College Station, TX area.",
69,InsectBase 2.0,InsectBase 2.0,
281,Inside Idaho,Inside Idaho,
218,Integrated Plant Health Information System,Integrated Plant Health Information System,
318,Integrated Taxonomic Information System,Integrated Taxonomic Information System,
258,Intensive Observational Period (IOP) data collection,Intensive Observational Period (IOP) data collection,
275,IPHIS-Integrated Plant Health Information System,IPHIS-Integrated Plant Health Information System,
205,Landsat,Landsat,
101,"Landsat, NAIP, Digital Elevation, Sentinel 2, MODIS, Land Cover, etc.","Landsat, NAIP, Digital Elevation, Sentinel 2, MODIS, Land Cover, etc.",
270,Landscape Change Monitoring System,Landscape Change Monitoring System,
422,LeadsOnline,LeadsOnline,
20,Leks,Leks,
423,LERS (from Google),LERS (from Google),
398,Lexis Nexis,Lexis Nexis,
57,LiDAR,LiDAR,
273,LIDAR,LIDAR,
23,LIDAR (3DEP),LIDAR (3DEP),
222,LiDAR Data,LiDAR Data,
246,LIMS,LIMS,
35,LOCA downscaled CMIP5 climate projections,LOCA downscaled CMIP5 climate projections,
6,Local server with field data,Local server with field data,
252,local weather data collected at various sites across Texas,local weather data collected at various sites across Texas,
163,LTAR Legacy Production data,LTAR Legacy Production data,
136,MA Cranberry Cultivars,MA Cranberry Cultivars,
268,MAGE  Crop Travel Data,MAGE  Crop Travel Data,
91,MANAGE,MANAGE,
120,Map of the Llano Estacado of North America,Map of the Llano Estacado of North America,
164,MarkSimGCM,MarkSimGCM,
74,MATLAB,MATLAB,
420,Metastorm,Metastorm,
178,Meteorological station data,Meteorological station data,
251,MicaSense RedEdge multispectral camera flown on Cessna Aircraft at 1000ft and 10000ft,MicaSense RedEdge multispectral camera flown on Cessna Aircraft at 1000ft and 10000ft,
384,Microsoft Access,Microsoft Access,
44,Minnesota Environmental Data Access,Minnesota Environmental Data Access,
41,Minnesota Geospatial Commons,Minnesota Geospatial Commons,
207,MODIS,MODIS,
404,Multi Model Manifest (accessed through ACE),Multi Model Manifest (accessed through ACE),
114,Multimodal hyperspectral image data,Multimodal hyperspectral image data,
221,NAIP Aerial Photography,NAIP Aerial Photography,
47,NAIP Digital Imagery,NAIP Digital Imagery,
22,NAIP Imagery,NAIP Imagery,
49,NAIP Imagery Seamlines,NAIP Imagery Seamlines,
290,NASA and USGS Satellite data products,NASA and USGS Satellite data products,
172,NASA Global Imagery,NASA Global Imagery,
391,NASA Soil Moisture Active/Passive data products,NASA Soil Moisture Active/Passive data products,
382,NASIS,NASIS,
78,National Agricultural Library Digital Collections,National Agricultural Library Digital Collections,
331,National Insect & Disease Risk and Hazard Mapping,National Insect & Disease Risk and Hazard Mapping,
306,National Land Cover Database,National Land Cover Database,
229,National Land Cover Database | U.S. Geological Survey,National Land Cover Database | U.S. Geological Survey,
61,National Pollinating Insect Collection Database,National Pollinating Insect Collection Database,
38,National Resource Inventory,National Resource Inventory,
214,National Soil Infortmation System (NASIS),National Soil Infortmation System (NASIS),
166,National Weather Service,National Weather Service,
29,National Wildfire Dataset,National Wildfire Dataset,
309,National Wind Erosion Research Network,National Wind Erosion Research Network,
67,NCBI,NCBI,
83,NCBI,NCBI,
156,NCBI,NCBI,
158,NCBI,NCBI,
367,NCBI BioProject,NCBI BioProject,
368,NCBI BioSample,NCBI BioSample,
369,NCBI Genome Database,NCBI Genome Database,
109,NCBI/GenBank,NCBI/GenBank,
383,NCSS Lab Data Mart,NCSS Lab Data Mart,
181,NDAWN weather data,NDAWN weather data,
388,NFC Employee data in HUE,NFC Employee data in HUE,
374,NFC Mainframe/PPS,NFC Mainframe/PPS,
375,NFC Reporting Center,NFC Reporting Center,
425,NIFA Reporting System (NRS),NIFA Reporting System (NRS),
225,NJ DEP Land/Use Land Cover data,NJ DEP Land/Use Land Cover data,
226,NJDEP Landscape Project,NJDEP Landscape Project,
387,NLAE watershed database,NLAE watershed database,
296,NLDAS Weather Forcing Data,NLDAS Weather Forcing Data,
217,North Carolina Flood Risk Information System,North Carolina Flood Risk Information System,
1,Nothing Specific,nothing,
182,NPAD Database,NPAD Database,
358,NRCS shared geodata folder,NRCS shared geodata folder,
305,NRMP Historic Areas,NRMP Historic Areas,
87,NWS climate data,NWS climate data,
414,OpenCorporates,OpenCorporates,
12,Oracle,Oracle,
55,Oracle Database,Oracle Database,
392,Oracle Database Metadata for Imagery,Oracle Database Metadata for Imagery,
146,PacBio genome biosequence data,PacBio genome biosequence data,
400,Panjiva,Panjiva,
26,Parcel data,Parcel data,
161,pathogen finder,pathogen finder,
394,PBW / NOW production database,PBW / NOW production database,
90,PDI data capture tools,PDI data capture tools,
304,Peanut Base,Peanut Base,
395,Peer review journal web sites,Peer review journal web sites,
235,PestLens,PestLens,
102,PhenoCam,PhenoCam,
354,phenocam (four sites),phenocam (four sites),
96,phosphorus loss in runoff events from agricultural fields,phosphorus loss in runoff events from agricultural fields,
117,Photos of the Llano Estacado,Photos of the Llano Estacado,
118,Photos of the Rolling Plains of Texas and Oklahoma,Photos of the Rolling Plains of Texas and Oklahoma,
428,Plan of Work (POW),Plan of Work (POW),
209,Planet,Planet,
115,Plant Stress & Water Conservation Meteorological Tower,Plant Stress & Water Conservation Meteorological Tower,
53,PLSS Boundary Dataset,PLSS Boundary Dataset,
295,POLARIS Soil Data,POLARIS Soil Data,
381,PPQ 280 Tool,PPQ 280 Tool,
408,PPQ fumigations,PPQ fumigations,
175,Prairie dog colony inventories,Prairie dog colony inventories,
32,PRISM climate data,PRISM climate data,
230,PRISM Climate Data - Oregon State University,PRISM Climate Data - Oregon State University,
215,PRISM Climate group,PRISM Climate group,
204,Project specific GIS data,Project specific GIS data,
77,PubAg,PubAg,
329,PubMed,PubMed,
75,R,R,
3,R3 Ecological Response Unit,R3 Ecological Response Unit,
2,R3 Midscale Vegetation (INREV),R3 Midscale Vegetation (INREV),
4,R3 Riparian Existing Vegetation (REV),R3 Riparian Existing Vegetation (REV),
241,Rabbit Hemorrhagic Disease Virus (RHDV2) data,Rabbit Hemorrhagic Disease Virus (RHDV2) data,
127,Rangeland Resources and System Research Project Directory on Teams Drive,Rangeland Resources and System Research Project Directory on Teams Drive,
142,RefTracker,RefTracker,
262,Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax,Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax,
105,Remote Sensing,Remote Sensing,
242,Remote sensing data,Remote sensing data,
138,Research Data,Research Data,
277,Research Tool,Research Tool,
113,Reynolds Creek Experimental Watershed Data,Reynolds Creek Experimental Watershed Data,
365,Runoff water quantity and quality data from native tallgrass prairie and crop-livestock systems in Oklahoma between 1977 and 1999,Runoff water quantity and quality data from native tallgrass prairie and crop-livestock systems in Oklahoma between 1977 and 1999,
123,Saltation Activity at the Morgenstern Dunes of West Texas,Saltation Activity at the Morgenstern Dunes of West Texas,
104,SAR (synthetic aperture radar) data,SAR (synthetic aperture radar) data,
72,SAS,SAS,
323,satellite imagery,satellite imagery,
256,"Satellite Imagery (Landsat, HLS, Sentinel, ECOSTRESS, etc)","Satellite Imagery (Landsat, HLS, Sentinel, ECOSTRESS, etc)",
405,SEACATS,SEACATS,
412,Secretary of State websites for various states,Secretary of State websites for various states,
245,Sequence Data,Sequence Data,
366,Sequence Read Archive (SRA),Sequence Read Archive (SRA),
162,serotype finder,serotype finder,
312,server,server,
193,Sharepoints,Sharepoints,
106,"SIF, Solar Induced Fluorescence","SIF, Solar Induced Fluorescence",
393,Snowtography Dataset,Snowtography Dataset,
94,Soil Data Explorer,Soil Data Explorer,
341,"Soil Water Content Data for The Bushland, Texas Alfalfa Experiments","Soil Water Content Data for The Bushland, Texas Alfalfa Experiments",
351,"Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments","Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments",
338,"Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments","Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments",
308,Soil Water Data,Soil Water Data,
37,SoilGrids,SoilGrids,
56,Soils,Soils,
188,Soils,Soils,
274,Soils (SSURGO),Soils (SSURGO),
24,Soils Data,Soils Data,
98,SoilWeb,SoilWeb,
18,South Carolina leaf-off statewide imagery,South Carolina leaf-off statewide imagery,
421,Spokeo,Spokeo,
199,Sprinkler drop size and velocity measurements,Sprinkler drop size and velocity measurements,
126,SQLServer database holding our watershed data,SQLServer database holding our watershed data,
36,SSURGO,SSURGO,
283,SSURGO and grid SSURGO data sets,SSURGO and grid SSURGO data sets,
88,St. Joseph River Watershed CEAP data,St. Joseph River Watershed CEAP data,
337,"Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas","Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas",
340,"Standard Weather Data for the Bushland, Texas, Alfalfa Experiments","Standard Weather Data for the Bushland, Texas, Alfalfa Experiments",
349,"Standard Weather Data for the Bushland, Texas, Large Weighing Lysimeter Experiments","Standard Weather Data for the Bushland, Texas, Large Weighing Lysimeter Experiments",
60,STEWARDS,STEWARDS,
130,STEWARDS,STEWARDS,
263,Stored product insect genomes + annotations,Stored product insect genomes + annotations,
299,Survey123,Survey123,
211,TBD,TBD,
401,TECS,TECS,
378,Telework Tool,Telework Tool,
231,"TerraClimate https://www.climatologylab.org/terraclimate.html, gridMET https://www.climatologylab.org/gridmet.html","TerraClimate https://www.climatologylab.org/terraclimate.html, gridMET https://www.climatologylab.org/gridmet.html",
253,Tetroon constant altitude flights,Tetroon constant altitude flights,
352,"The Bushland, Texas Maize for Grain Datasets","The Bushland, Texas Maize for Grain Datasets",
345,"The Bushland, Texas, Alfalfa Datasets","The Bushland, Texas, Alfalfa Datasets",
339,"The Bushland, Texas, Winter Wheat Datasets","The Bushland, Texas, Winter Wheat Datasets",
42,The National Map,The National Map,
430,The NIH National Center for Bioinformatics Information,The NIH National Center for Bioinformatics Information,
39,Timber Distribution Data,Timber Distribution Data,
261,Topical application of synthetic hormones to terminate reproductive diapause of Ceratapion basicorne,Topical application of synthetic hormones to terminate reproductive diapause of Ceratapion basicorne,
224,UAS data from drone flights over research fields,UAS data from drone flights over research fields,
125,UAS imagery,UAS imagery,
385,"UAV Imagery data near Ames, IA","UAV Imagery data near Ames, IA",
386,UAV LiDAR datasets,UAV LiDAR datasets,
177,UAV/UAS imagery,UAV/UAS imagery,
389,Unified Repository,Unified Repository,
167,US Census Data,US Census Data,
97,US Census of Agriculture,US Census of Agriculture,
168,US Environmental GIS Data,US Environmental GIS Data,
372,US National Fungal Databases,US National Fungal Databases,
373,US National Fungus Collections Specimen Images,US National Fungus Collections Specimen Images,
380,USDA - Enterprise Performance Management Application (EPMA),USDA - Enterprise Performance Management Application (EPMA),
292,USDA ArcGIS Portal,USDA ArcGIS Portal,
332,USDA Climate Hubs,USDA Climate Hubs,
169,USDA ERS data,USDA ERS data,
396,USDA Facility Address GIS Data,USDA Facility Address GIS Data,
46,USDA Historical Aerial Photography,USDA Historical Aerial Photography,
364,USDA Micronet,USDA Micronet,
239,USDA MRP Plant Protection and Quarantine Domestic Programs Data Site,USDA MRP Plant Protection and Quarantine Domestic Programs Data Site,
294,USDA NASS Cropland Data Layer,USDA NASS Cropland Data Layer,
173,USDA NASS data,USDA NASS data,
357,USDA NRCS Geospatial Data Gateway,USDA NRCS Geospatial Data Gateway,
255,USDA Pecan Provenance Orchard Imagery,USDA Pecan Provenance Orchard Imagery,
232,USDA-FSA Conservation Reserve Program data,USDA-FSA Conservation Reserve Program data,
233,USDA-NASS Agricultural Chemical Use Program survey data,USDA-NASS Agricultural Chemical Use Program survey data,
282,USGS,USGS,
285,USGS flow and water quality data,USGS flow and water quality data,
359,USGS National Water Dashboard,USGS National Water Dashboard,
43,USGS Surface Water Data,USGS Surface Water Data,
52,Various boundary datasets,Various boundary datasets,
328,Vaterinary Pest Genomics Center,Vaterinary Pest Genomics Center,
174,Vegetation inventories at research plots,Vegetation inventories at research plots,
208,VIIRS,VIIRS,
128,Viki phenotyping data server,Viki phenotyping data server,
160,virulence finder,virulence finder,
25,weather and precipitation data PRISM,weather and precipitation data PRISM,
324,Weather data,Weather data,
353,Weather data from Swan Lake Research Farm,Weather data from Swan Lake Research Farm,
40,Web Soil Survey,Web Soil Survey,
342,"Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets","Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets",
347,"Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets","Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets",
413,Whooster,Whooster,
416,Whooster,Whooster,
334,WISKI,WISKI,
147,WISKI Database Management System (Kisters North America),WISKI Database Management System (Kisters North America),
64,WQ data,WQ data,
66,Yield dataset,Yield dataset,
417,Zillow,Zillow,
