Name,app_purpose,private_public,agency,ownership_status,Details
Cloud Services Innovation Platform (CSIP),Model,public,ARS,opensource,"
The Cloud Services Integration Platform is a SoA implementation to offer a Model-as-a-Service framework, Application Programming Interface, deployment infrastructure, and service implementations for environmental modeling. CSIP leverages JAX-RS and OMS3, currently offering 200+ different model and data services.
https://alm.engr.colostate.edu/cb/project/csip"
Spatial Analytic Framework for Advanced Risk Information Systems (SAFARIS),Data Viz,hybrid,APHIS,owned,"SAFARIS is a web-based analytic framework that is designed to provide robust spatial modeling and pest forecast models, collection and evaluation of weather and climate data, prediction of pest behaviors under climate change, and development of biological parameter and life table databases."
Landscape Change Monitoring System (LCMS) Data Explorer,Data Access,hybrid,FS,shared,https://apps.fs.usda.gov/lcms-viewer/
Conservation Desktop,Decision Support,private,NRCS,owned,Geospatial database that NRCS staff use to develop conservation plans using ArcGIS layers and USDA customer data to create conservation plans for financial and technical assistance.
Protracts,NA,private,NRCS,owned,Protracts is a contract management software used to store and edit user information for the purposes of financial contracts under NRCS programs.
ArcGIS Collector,Data Creation,hybrid,APHIS,shared,"This resource is used in the field for data input and GIS location and all around from visual surveys, trap placement and treatments for the Spotted Lanternfly program."
ACPF,Model,public,ARS,shared,"ACPF is the Agricultural Conservation Planning Framework.  It was originally developed by ARS scientists at Ames, iA.  One of those scientists, Sarah Porter, now works in our Unit here in St. Paul on a project funded by NRCS to develop new tools for the software.  ACPF uses lidar elevation data, soils data, and cropping system information to suggest optimal placement of conservation practices within a watershed."
WebGIS - USGS,Model,public,FS,opensource,"Extensive map coverage for technical applications including Air Dispersion Modeling, Human Health & Ecological Risk Assessment and Terrain Processing. These maps are ready for download in various formats, to facilitate your modeling. http://www.webgis.com/"
myPhyloDB,NA,hybrid,ARS,owned,None
SciNet,NA,public,ARS,owned,https://scinet.usda.gov/
Desktop,NA,hybrid,RD,commercial,"ArcGIS Online,
ArcGIS Pro,
Tableau,
Oracle"
"SNICAS (SITC National Information, Communication and Activity System)",Data Access,private,APHIS,owned,"Database of traces, surveys, recalls, and seizures performed by the SITC (Smuggling Interdiction and Trade Compliance) program in USDA-APHIS-PPQ.  https://snicas.aphis.usda.gov/"
ePermits,NA,hybrid,APHIS,owned,"System for stateholders to apply for or renew PPQ and Veterinary Services permits for items such as plants, plant products, postentry quarantine, or animal product imports.  Also used to submit inspection reports of facilities that have/are applying for permits, researching whether a person or business has a valid permit for a restricted item. Currently being phased out in favor of eFile. https://epermits.aphis.usda.gov/epermits/index.cfm"
MS PowerApps,NA,hybrid,APHIS,commercial,"MS PowerApps is great for low code development.  This tool is great for creating forms quickly, and also other applications that need to use many forms from templates very quickly.  MS Power Automate is great for helping managers with repetitive tasks.  Email automation is great with this feature.

More information about MS PowerApps is found in the following link:

https://powerapps.microsoft.com/en-us/landing/developer-plan/?&ef_id=CjwKCAjwy_aUBhACEiwA2IHHQHXJLvksOn8xQtS00uUcuuHKS_Pu3H3taWRzc8-UpeFHhKkgfxmgSBoCizcQAvD_BwE:G:s&OCID=AID2202142_SEM_CjwKCAjwy_aUBhACEiwA2IHHQHXJLvksOn8xQtS00uUcuuHKS_Pu3H3taWRzc8-UpeFHhKkgfxmgSBoCizcQAvD_BwE:G:s&gclid=CjwKCAjwy_aUBhACEiwA2IHHQHXJLvksOn8xQtS00uUcuuHKS_Pu3H3taWRzc8-UpeFHhKkgfxmgSBoCizcQAvD_BwE

More information about MS Power Automate is found in the following link:

https://powerautomate.microsoft.com/en-us/?&ef_id=CjwKCAjwy_aUBhACEiwA2IHHQDyxdJUsDxwjpuwX8cFTN_PYXplS1Ke-fkujMmjmkbPaDjzqJMxkLRoCb7IQAvD_BwE:G:s&OCID=AID2200053_SEM_CjwKCAjwy_aUBhACEiwA2IHHQDyxdJUsDxwjpuwX8cFTN_PYXplS1Ke-fkujMmjmkbPaDjzqJMxkLRoCb7IQAvD_BwE:G:s&gclid=CjwKCAjwy_aUBhACEiwA2IHHQDyxdJUsDxwjpuwX8cFTN_PYXplS1Ke-fkujMmjmkbPaDjzqJMxkLRoCb7IQAvD_BwE
"
google analytics,NA,private,ARS,commercial,web analytics
Landscape Data Commons,NA,public,ARS,shared,"The objective of the Landscape Data Commons is to provide harmonized data to enable
the research and management communities to explore agroecosystem processes and management strategies efficiently and in new ways. To accelerate new discoveries and improve data-supported decision making, we designed the Landscape Data Commons platform to include four components: (1) data harmonization and aggregation, (2) data access, (3) model connections, and (4) integration with other datasets and analysis tools (www.landscapedatacommons.org)."
Land Potential Knowledge System,NA,public,ARS,owned,"The LandPKS (landpotential.org) mission is to support farmers, ranchers, gardeners, land-use planners, and other natural resource managers with open-source tools that allow them to: easily access knowledge and information, and collect, share, and interpret their own soil, vegetation cover, and management data. LandPKS data, information, and knowledge can be used to improve soil health and productivity. LandPKS supports all approaches to land management including traditional, regenerative, organic, and holistic."
Grasshopper Species Mapping Application,Data Viz,hybrid,APHIS,private,"This application displays 12 different species of grasshopper occurrence data from online databases , PPQ field surveys and SPHD monitoring surveys.  The application also houses a species distribution models for each species, displaying the environmental suitability in Canada, United States and Mexico on a 5x5km grid. These models were derived using Maxent, a machine learning niche modeling software, and 48 different environmental variables that represent temperature and precipitation at key life cycle points, soil type, topography, vegetation and growing degree days. The application allows the export of species data, querying by attribute, pop-ups for individual data points, and the ability to make maps on the fly. The application is currently being housed in the PPQ GIS Portal and requires level 2 eAuth for access."
Global Reservoirs and Lakes Monitor (G-REALM),Data Viz,public,FAS,shared,"G-REALM provides time-series data of water level variations, as measured by radar altimeter data, for some of the world's largest lakes and reservoirs, allowing users to monitor water supply used for irrigation, power generation, and consumption.      https://ipad.fas.usda.gov/cropexplorer/global_reservoir/Default.aspx"
Crop Explorer,Data Viz,hybrid,FAS,owned,"Crop Explorer provides geospatial data for assessing crop conditions. Weather, drought, soil moisture, and vegetation condition data are displayed as maps and time-series charts. Explore the data by geographic region or via Commodity Explorers.  https://ipad.fas.usda.gov/cropexplorer/Default.aspx"
Global Agricultural & Disaster Assessment System (GADAS),Data Viz,hybrid,FAS,owned,"GADAS is a web-based GIS with weather, drought, and vegetation condition data integrated with crop masks, land cover, and infrastructure data. Geospatial tools such as hourly disaster alerts and tools to calculate agricultural areas are integrated.      https://geo.fas.usda.gov/GADAS/index.html"
Global Agricultural Monitoring (GLAM),Model,public,FAS,shared,"GLAM provides near real-time and science quality 8-day Normalized Difference Vegetation Index (NDVI) data from NASA’s Terra and Aqua satellites, MODIS sensor. Users select different administrative areas and crop masks to plot NDVI curves.   http://glam1.gsfc.nasa.gov/"
Tropical Cyclone Monitor,Data Viz,public,FAS,owned,"Tropical Cyclone Monitor provides observation data–storm tracks–by the National Hurricane Center (NHC), Central Pacific Hurricane Center, and Joint Typhoon Warning Center (JTWC). Storms from 2005 to present can be searched by storm name or by year. https://gis.ipad.fas.usda.gov/TropicalCycloneMonitor/"
WMO Station Explorer,Data Viz,public,FAS,owned,"WMO Station Explorer displays the latest World Meteorological Organization station data. Users select one or more stations to chart precipitation and temperature. Charts compare this year to selected years for daily, decadal and monthly data.  https://gis.ipad.fas.usda.gov/WmoStationExplorer/"
Environmental Compliance Tool,NA,private,FPAC,owned,"NOTE: This product just recently received funding and is expected to begin development by the beginning of 2024. 

For every Farm Service Agency (FSA) project, staff must conduct an environmental review and determine the need for a site-specific FSA-850. Preparing a site-specific FSA-850 can involve navigating a lengthy process that includes visiting greater than 10 different external websites to collect geospatial information for activities that require the use of a supported categorical exclusion. The completion of an FSA-850 for an activity with a greater potential for impacts to legally protected resources requires a “supported categorical exclusion” that currently takes between 60 to 180 minutes to complete the paper process, while activities utilizing a listed categorical exclusion take approx. 15 minutes to complete. 

The development of a digitized and automated environmental compliance tool will greatly speed completion of FSA-850s. Further, it would facilitate consistent field staff decision-making and ensure compliance with law/policy, shielding the agency and producers from litigation. ENV is developing an web-based tool to streamline the required environmental compliance for FSA projects, by automating the current paper form, the FSA-850, and streamlining the geospatial analysis required by utilizing web services to bring all the external geospatial information into a single tool. 

This tool would have four main components: 
•	Geospatial visualization of regulatory data sources, 
•	Screening for any available and applicable Programmatic FSA-850s,
•	Digitized version of the FSA-850 form, and 
•	Reportable database.

The following are the external geodatabases that will be incorporated into the tool:
IPaC: https://ipac.ecosphere.fws.gov/

National Register of Historic Places Mapper: https://www.nps.gov/maps/full.html?mapId=7ad17cc9-b808-4ff8-a2f9-a99909164466

Tribal Directory Assessment Tool (TDAT): https://egis.hud.gov/TDAT/

CBRS Mapper (USFWS): https://www.fws.gov/cbra/maps/mapper.html

National Wilderness Areas (USFS): https://www.arcgis.com/apps/webappviewer/index.html?id=a415bca07f0a4bee9f0e894b0db5c3b6&find=Nopah%20Range%20Wilderness  

Wild and Scenic River (NPS): https://nps.maps.arcgis.com/apps/View/index.html?appid=ff42a57d0aae43c49a88daee0e353142 

Nationwide River Inventory (NPS): https://www.nps.gov/maps/full.html?mapId=8adbe798-0d7e-40fb-bd48-225513d64977 

National Natural Landmark (NPS): https://www.nps.gov/subjects/nnlandmarks/nation.htm 

Sole Source Aquifer (EPA): https://epa.maps.arcgis.com/apps/webappviewer/index.html?id=9ebb047ba3ec41ada1877155fe31356b  

FIRM Mapper (FEMA): https://msc.fema.gov/portal/home

National Wetlands Inventory Mapper (USFWS): https://www.fws.gov/wetlands/data/Mapper.html

Web Soil Survey: https://websoilsurvey.sc.egov.usda.gov/App/WebSoilSurvey.aspx

Impaired Water Catchments: https://watersgeo.epa.gov/

Nonattainment Areas: Nonattainment Areas for the Criteria Pollutants (arcgis.com)
https://epa.maps.arcgis.com/home/item.html?id=2a487fb6c56e492e8e2e66608d9b93d6

EJScreen (EPA): https://ejscreen.epa.gov/mapper/ 
"
Summer Meals Site Finder,Decision Support,public,FNS,owned,"https://www.fns.usda.gov/sfsp/about-sitefinder

The Meals for Kids Site Finder was developed by USDA Food and Nutrition Services (FNS) to help children, parents, and others quickly and easily find summer meal sites near them. The site finder, available for use at no charge, is a web-based application that also works on tablets, smartphones, and other mobile devices without the need to download.
The mapping tool allows users to enter an address, city, state, or zip code to find up to 50 nearby locations, along with their addresses, hours of operation, and contact information, and directions. Also available in Spanish.
"
SNAP Retailer Locater,Decision Support,public,FNS,owned,"https://www.fns.usda.gov/snap/retailer-locator
The SNAP Retailer Locator allows anyone to locate nearby SNAP-authorized retailers by entering a street address, city, and state, or zip code. Enter your starting location and select a retailer or map point to get details and directions. Although the tool is designed to help SNAP recipients, it is also helpful for other government entities, community organizations, and others aiding SNAP recipients.

https://usda-fns.maps.arcgis.com/apps/webappviewer/index.html?id=e1f3028b217344d78b324193b10375e4"
Capacity Builder,Decision Support,public,FNS,owned,"The Summer Food Service Program Capacity Builder Map allows users to visualize “layers” of information, such as underserved areas, and identify locations for new sites. Users can find their nearest potential community partners such as multi-family housing units, libraries, faith-based institutions, military bases, schools and more. The Capacity Builder is a powerful tool for state agencies and sponsors to evaluate the previous summer’s performance as well plan for the next summer. 

https://www.fns.usda.gov/capacitybuilder"
Resilience and Recovery Tool,Decision Support,public,FNS,owned,"The tool allows anyone with an internet connection to access disaster-related information, in combination with community data, to help users plan for and respond to disasters. The tool includes existing public FNS program information such as SNAP retailers and Meals for Kids sites, disaster-related civil infrastructure such as fire stations, schools and daycares, and live data feeds of weather, hurricane warnings and forecasts, wildfires, earthquakes, flood risks, drought, and COVID cases. States, Tribes, communities, and other partners can use the Tool at any time during the disaster cycle. Additionally, the tool uses underserved community data to improve equity throughout the disaster cycle.

https://experience.arcgis.com/experience/9005f4c02a19469d9ccc26add2ce1777
"
FNS Storm and Wildfire Tool,Data Viz,private,FNS,owned,"This tool was built to help provide visualization from the national view down to the street level. Because there are sensitive data such as FNS office locations and real-time power outages, the tool does require a login. The tool includes four main categories of data:
•	Hazard data such as storms and wildfires but also things like flooding and earthquakes. Please know there are more data available for example, for each tropical storm there are wind data and watches and warnings. State and county-level power outages reported by the Department of Energy and COVID cases are also included.
•	FNS Interests like school districts, all FNS offices, including the retail management centers, and where FNS has an active disaster nutrition response.
•	Response data focus on FEMA and non-congregate shelters, evacuation routes, an essential element of mass care during a disaster response, of which FNS may play a role.
•	Contextual information includes Tribal lands, Congressional districts, live Satellite weather, and “tapestry” a way to classify individual neighborhoods that includes data like how much those residents typically spend on food."
MPRO SNAP E & T,Decision Support,private,FNS,owned,This project is under development and exploring how SNAP E & T and region-specific data can be overlaid to better understand the largest employers in an area and communicate this information to the State Agencies. Regional offices often have data for their States that are not available at the National level.
NERO Farm to School,Decision Support,private,FNS,owned,This project is also under development and exploring how the Farm to School Census and local foods intersect and how these data can be best displayed for stakeholders.
Ensembl Variant Effect Predictor (VEP),Model,public,ARS,opensource,"https://www.ensembl.org/info/docs/tools/vep/index.html
VEP determines the effect of your variants (SNPs, insertions, deletions, CNVs or structural variants) on genes, transcripts, and protein sequence, as well as regulatory regions."
web-based decision support tools,Decision Support,public,ARS,opensource,"https://covercrop.tools/
https://cc-ncalc.org/"
STEWARDS Web App and Database for CEAP data,Data Access,public,ARS,owned,"STEWARDS is a geospatial web application that allow for data discovery and downloading of ARS CEAP watershed data.  The application is written in JavaScript and runs an ArcGIS Server interface tool that securely connects to a Microsoft SQL server instance to retrieve CEAP data.  The database contains 24,768,583 records from 16 CEAP watersheds.  From June 2021 to May 2022, 11.9 million records were downloaded from 127 sessions.  The CEAP database is connected via the USGS WQX system to allow the sharing of data with USGS and EPA data systems.

link to STEWARDS website: https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html
Background documents:
https://data.nal.usda.gov/dataset/stewards-data-delivery-application-usdaars-conservation-effects-assessment-project
https://agresearchmag.ars.usda.gov/2006/aug/data

WQX info: https://www.epa.gov/waterdata/water-quality-data
"
"REEport-Research, Extension, and Education Project Online Reporting Tool",NA,public,NIFA,owned,"https://www.nifa.usda.gov/data/reeport

The Research, Extension, and Education Project Online Reporting Tool (REEport) is NIFA’s primary grant reporting system. The system collects both technical and financial data related to NIFA-funded projects. I am not too familiar with this data collection. I made a best guess below."
